Root,Serial,Level,part_of_speech,Addition,Explaination,ExplainationE,ExplainationC
000044,01-000044-05-1,A1,determiner,-,,-,-
000044,01-000044-05-2,A1,determiner,-,,-,-
000044,01-000044-05-3,A1,determiner,-,,-,-
000044,01-000044-05-4,A1,determiner,-,,-,-
000054,01-000054-10-1,A1,preposition,-,,-,-
000054,01-000054-02-2,A1,adverb,-,,-,-
000055,01-000055-02-1,A1,adverb,-,,-,-
000124,01-000124-08-1,A1,noun,-,,-,-
000124,01-000124-08-2,A1,noun,-,,-,-
000143,01-000143-08-1,A1,noun,-,,-,-
000166,01-000166-10-1,A1,preposition,-,,-,-
000167,01-000167-08-1,A1,noun,-,,-,-
000169,01-000169-02-1,A1,adverb,-,,-,-
000171,01-000171-08-1,A1,noun,-,,-,-
000203,01-000203-05-1,A1,determiner,-,,-,-
000203,01-000203-05-2,A1,determiner,-,,-,-
000204,01-000204-01-1,A1,adjective,-,,-,-
000204,01-000204-06-2,A1,exclamation,-,,-,-
000224,01-000224-06-1,A1,exclamation,-,,-,-
000225,01-000225-02-1,A1,adverb,-,,-,-
000234,01-000234-02-1,A1,adverb,-,,-,-
000045,01-000045-02-1,A1,adverb,-,,-,-
000257,01-000257-05-1,A1,determiner,-,,-,-
000267,01-000267-04-1,A1,conjunction,-,,-,-
000267,01-000267-04-2,A1,conjunction,-,,-,-
000267,01-000267-04-3,A1,conjunction,-,,-,-
000273,01-000273-08-1,A1,noun,-,,-,-
000288,01-000288-08-1,A1,noun,-,,-,-
000288,01-000288-12-2,A1,verb,-,,-,-
000298,01-000298-05-1,A1,determiner,-,,-,-
000298,01-000298-05-2,A1,determiner,-,,-,-
000303,01-000303-11-1,A1,pronoun,-,,-,-
000303,01-000303-11-2,A1,pronoun,-,,-,-
000321,01-000321-08-1,A1,noun,-,,-,-
000001,01-000001-08-1,A1,noun,-,,-,-
000347,01-000347-08-1,A1,noun,-,,-,-
000367,01-000367-02-1,A1,adverb,-,,-,-
000370,01-000370-12-1,A1,verb,-,,-,-
000398,01-000398-10-1,A1,preposition,-,,-,-
000398,01-000398-10-2,A1,preposition,-,,-,-
000398,01-000398-10-3,A1,preposition,-,,-,-
000398,01-000398-10-4,A1,preposition,-,,-,-
000002,01-000002-08-1,A1,noun,-,,-,-
000445,01-000445-08-1,A1,noun,-,,-,-
000448,01-000448-02-1,A1,adverb,-,,-,-
000460,01-000460-01-1,A1,adjective,-,,-,-
000465,01-000465-08-1,A1,noun,-,,-,-
000474,01-000474-08-1,A1,noun,-,,-,-
000478,01-000478-08-1,A1,noun,-,,-,-
000479,01-000479-08-1,A1,noun,-,,-,-
000482,01-000482-08-1,A1,noun,-,,-,-
000487,01-000487-08-1,A1,noun,-,,-,-
000505,01-000505-08-1,A1,noun,-,,-,-
000507,01-000507-08-1,A1,noun,-,,-,-
000507,01-000507-08-2,A1,noun,-,,-,-
000508,01-000508-08-1,A1,noun,-,,-,-
000512,01-000512-12-1,A1,verb,-,,-,-
000513,01-000513-08-1,A1,noun,-,,-,-
000518,01-000518-08-1,A1,noun,-,,-,-
000520,01-000520-01-1,A1,adjective,-,,-,-
000520,01-000520-01-2,A1,adjective,-,,-,-
000523,01-000523-04-1,A1,conjunction,-,,-,-
000525,01-000525-08-1,A1,noun,-,,-,-
000526,01-000526-08-1,A1,noun,-,,-,-
000529,01-000529-08-1,A1,noun,-,,-,-
000530,01-000530-10-1,A1,preposition,-,,-,-
000532,01-000532-12-1,A1,verb,-,,-,-
000537,01-000537-10-1,A1,preposition,-,,-,-
000543,01-000543-02-1,A1,adverb,-,,-,-
000553,01-000553-01-1,A1,adjective,-,,-,-
000553,01-000553-02-2,A1,adverb,-,,-,-
000557,01-000557-01-1,A1,adjective,-,,-,-
000557,01-000557-01-2,A1,adjective,-,,-,-
000558,01-000558-10-1,A1,preposition,-,,-,-
000558,01-000558-10-2,A1,preposition,-,,-,-
000558,01-000558-10-3,A1,preposition,-,,-,-
000565,01-000565-01-1,A1,adjective,-,,-,-
000576,01-000576-08-1,A1,noun,-,,-,-
000578,01-000578-08-1,A1,noun,-,,-,-
000579,01-000579-08-1,A1,noun,-,,-,-
000584,01-000584-01-1,A1,adjective,-,,-,-
000606,01-000606-01-1,A1,adjective,-,,-,-
000609,01-000609-08-1,A1,noun,-,,-,-
000612,01-000612-08-1,A1,noun,-,,-,-
000613,01-000613-08-1,A1,noun,-,,-,-
000625,01-000625-08-1,A1,noun,-,,-,-
000635,01-000635-01-1,A1,adjective,-,,-,-
000636,01-000636-01-1,A1,adjective,-,,-,-
000640,01-000640-05-1,A1,determiner,-,,-,-
000644,01-000644-08-1,A1,noun,-,,-,-
000650,01-000650-08-1,A1,noun,-,,-,-
000652,01-000652-08-1,A1,noun,-,,-,-
000666,01-000666-08-1,A1,noun,-,,-,-
000670,01-000670-08-1,A1,noun,-,,-,-
000700,01-000700-08-1,A1,noun,-,,-,-
000702,01-000702-01-1,A1,adjective,-,,-,-
000736,01-000736-08-1,A1,noun,-,,-,-
000740,01-000740-08-1,A1,noun,-,,-,-
000744,01-000744-04-1,A1,conjunction,-,,-,-
000746,01-000746-08-1,A1,noun,-,,-,-
000749,01-000749-12-1,A1,verb,-,,-,-
000753,01-000753-06-1,A1,exclamation,-,,-,-
000759,01-000759-08-1,A1,noun,-,,-,-
000761,01-000761-08-1,A1,noun,-,,-,-
000771,01-000771-08-1,A1,noun,-,,-,-
000777,01-000777-07-1,A1,modal verb,-,,-,-
000777,01-000777-07-2,A1,modal verb,-,,-,-
000777,01-000777-07-3,A1,modal verb,-,,-,-
000777,01-000777-07-4,A1,modal verb,-,,-,-
000785,01-000785-07-1,A1,modal verb,-,,-,-
000797,01-000797-08-1,A1,noun,-,,-,-
000820,01-000820-12-1,A1,verb,-,,-,-
000832,01-000832-08-1,A1,noun,-,,-,-
000835,01-000835-12-1,A1,verb,-,,-,-
000835,01-000835-12-2,A1,verb,-,,-,-
000003,01-000003-08-1,A1,noun,-,,-,-
000004,01-000004-08-1,A1,noun,-,,-,-
000868,01-000868-08-1,A1,noun,-,,-,-
000876,01-000876-12-1,A1,verb,-,,-,-
000896,01-000896-01-1,A1,adjective,-,,-,-
000908,01-000908-08-1,A1,noun,-,,-,-
000922,01-000922-08-1,A1,noun,-,,-,-
000930,01-000930-08-1,A1,noun,-,,-,-
000931,01-000931-08-1,A1,noun,-,,-,-
000935,01-000935-12-1,A1,verb,-,,-,-
000941,01-000941-08-1,A1,noun,-,,-,-
000949,01-000949-08-1,A1,noun,-,,-,-
000959,01-000959-08-1,A1,noun,-,,-,-
000959,01-000959-08-2,A1,noun,-,,-,-
000965,01-000965-08-1,A1,noun,-,,-,-
000967,01-000967-01-1,A1,adjective,-,,-,-
000967,01-000967-12-2,A1,verb,-,,-,-
000971,01-000971-01-1,A1,adjective,-,,-,-
000984,01-000984-08-1,A1,noun,-,,-,-
000985,01-000985-12-1,A1,verb,-,,-,-
000985,01-000985-01-2,A1,adjective,-,,-,-
000986,01-000986-01-1,A1,adjective,-,,-,-
000986,01-000986-01-2,A1,adjective,-,,-,-
000991,01-000991-08-1,A1,noun,-,,-,-
001007,01-001007-08-1,A1,noun,-,,-,-
001011,01-001011-08-1,A1,noun,-,,-,-
001018,01-001018-01-1,A1,adjective,-,,-,-
001031,01-001031-08-1,A1,noun,-,,-,-
001031,01-001031-12-2,A1,verb,-,,-,-
001038,01-001038-12-1,A1,verb,-,,-,-
001038,01-001038-12-2,A1,verb,-,,-,-
001038,01-001038-12-3,A1,verb,-,,-,-
001107,01-001107-08-1,A1,noun,-,,-,-
001227,01-001227-08-1,A1,noun,-,,-,-
001236,01-001236-12-1,A1,verb,-,,-,-
