num,word_b,word_a
00000000,-,-
00000001,April,April
00000002,August,August
00000003,CD,CD
00000004,CD player,CD player
00000005,CD-ROM,CD-ROM
00000006,CV,CV
00000007,Cheers!,Cheers!
00000008,DJ,DJ
00000009,DNA,DNA
00000010,DVD,DVD
00000011,December,December
00000012,Dr,Dr
00000013,February,February
00000014,Friday,Friday
00000015,Google,Google
00000016,I,I
00000017,ID,ID
00000018,ID card,ID card
00000019,IT,IT
00000020,January,January
00000021,July,July
00000022,June,June
00000023,MP3 player,MP3 player
00000024,March,March
00000025,May,May
00000026,Miss,Miss
00000027,Monday,Monday
00000028,Mr,Mr
00000029,Mrs,Mrs
00000030,Ms,Ms
00000031,November,November
00000032,OK,OK
00000033,October,October
00000034,PC,PC
00000035,Saturday,Saturday
00000036,September,September
00000037,Sunday,Sunday
00000038,T-shirt,T-shirt
00000039,TV,TV
00000040,Thursday,Thursday
00000041,Tuesday,Tuesday
00000042,Wednesday,Wednesday
00000043,X-ray,X-ray
00000044,a,a
00000045,a.m.,a.m.
00000046,abandon,abandon
00000047,abandoned,abandoned
00000048,ability,ability
00000049,able,able
00000050,abnormal,abnormal
00000051,aboard,aboard
00000052,abolish,abolish
00000053,abortion,abortion
00000054,about,about
00000055,above,above
00000056,abroad,abroad
00000057,abrupt,abrupt
00000058,abruptly,abruptly
00000059,absence,absence
00000060,absent,absent
00000061,absolute,absolute
00000062,absolutely,absolutely
00000063,absorb,absorb
00000064,abstract,abstract
00000065,absurd,absurd
00000066,abuse,abuse
00000067,abusive,abusive
00000068,academic,academic
00000069,accelerate,accelerate
00000070,accent,accent
00000071,accept,accept
00000072,acceptable,acceptable
00000073,acceptance,acceptance
00000074,accepted,accepted
00000075,access,access
00000076,accessible,accessible
00000077,accessory,accessory
00000078,accident,accident
00000079,accidental,accidental
00000080,accidentally,accidentally
00000081,acclaimed,acclaimed
00000082,accommodation,accommodation
00000083,accompany,accompany
00000084,accomplish,accomplish
00000085,according to,according to
00000086,account,account
00000087,accountable,accountable
00000088,accountant,accountant
00000089,accumulate,accumulate
00000090,accumulation,accumulation
00000091,accuracy,accuracy
00000092,accurate,accurate
00000093,accurately,accurately
00000094,accusation,accusation
00000095,accuse,accuse
00000096,ache,ache
00000097,achieve,achieve
00000098,achievement,achievement
00000099,acid,acid
00000100,acknowledge,acknowledge
00000101,acquaintance,acquaintance
00000102,acquire,acquire
00000103,acre,acre
00000104,across,across
00000105,act,act
00000106,action,action
00000107,active,active
00000108,actively,actively
00000109,activity,activity
00000110,actor,actor
00000111,actual,actual
00000112,actually,actually
00000113,ad,ad
00000114,adapt,adapt
00000115,adaptation,adaptation
00000116,add,add
00000117,addict,addict
00000118,addicted,addicted
00000119,addiction,addiction
00000120,addictive,addictive
00000121,addition,addition
00000122,additional,additional
00000123,additionally,additionally
00000124,address,address
00000125,adequate,adequate
00000126,adequately,adequately
00000127,adjacent,adjacent
00000128,adjective,adjective
00000129,adjust,adjust
00000130,adjustment,adjustment
00000131,administration,administration
00000132,administrative,administrative
00000133,administrator,administrator
00000134,admiration,admiration
00000135,admire,admire
00000136,admission,admission
00000137,admit,admit
00000138,admittedly,admittedly
00000139,adolescent,adolescent
00000140,adopt,adopt
00000141,adopted,adopted
00000142,adoption,adoption
00000143,adult,adult
00000144,advance,advance
00000145,advanced,advanced
00000146,advantage,advantage
00000147,adventure,adventure
00000148,adventurous,adventurous
00000149,adverb,adverb
00000150,advert,advert
00000151,advertise,advertise
00000152,advertisement,advertisement
00000153,advertising,advertising
00000154,advice,advice
00000155,advise,advise
00000156,adviser,adviser
00000157,advocate,advocate
00000158,aeroplane,aeroplane
00000159,affair,affair
00000160,affect,affect
00000161,affection,affection
00000162,affectionate,affectionate
00000163,affluent,affluent
00000164,affordable,affordable
00000165,afraid,afraid
00000166,after,after
00000167,afternoon,afternoon
00000168,afterwards,afterwards
00000169,again,again
00000170,against,against
00000171,age,age
00000172,aged,aged
00000173,agency,agency
00000174,agenda,agenda
00000175,agent,agent
00000176,ages,ages
00000177,aggression,aggression
00000178,aggressive,aggressive
00000179,aggressively,aggressively
00000180,ago,ago
00000181,agree,agree
00000182,agreement,agreement
00000183,agriculture,agriculture
00000184,ahead,ahead
00000185,aid,aid
00000186,aim,aim
00000187,air,air
00000188,air conditioning,air conditioning
00000189,air force,air force
00000190,aircraft,aircraft
00000191,airline,airline
00000192,airport,airport
00000193,alarm,alarm
00000194,alarm clock,alarm clock
00000195,alarming,alarming
00000196,albeit,albeit
00000197,album,album
00000198,alcohol,alcohol
00000199,alcoholic,alcoholic
00000200,alert,alert
00000201,alike,alike
00000202,alive,alive
00000203,all,all
00000204,all right,all right
00000205,allegation,allegation
00000206,allege,allege
00000207,alleged,alleged
00000208,allegedly,allegedly
00000209,alliance,alliance
00000210,allied,allied
00000211,allocate,allocate
00000212,allocation,allocation
00000213,allow,allow
00000214,allowance,allowance
00000215,ally,ally
00000216,almost,almost
00000217,alone,alone
00000218,along,along
00000219,alongside,alongside
00000220,aloud,aloud
00000221,alphabet,alphabet
00000222,alphabetical,alphabetical
00000223,already,already
00000224,alright,alright
00000225,also,also
00000226,alter,alter
00000227,alteration,alteration
00000228,alternate,alternate
00000229,alternative,alternative
00000230,alternatively,alternatively
00000231,although,although
00000232,altogether,altogether
00000233,aluminium,aluminium
00000234,always,always
00000235,amateur,amateur
00000236,amazed,amazed
00000237,amazement,amazement
00000238,amazing,amazing
00000239,amazingly,amazingly
00000240,ambassador,ambassador
00000241,ambiguity,ambiguity
00000242,ambiguous,ambiguous
00000243,ambition,ambition
00000244,ambitious,ambitious
00000245,ambulance,ambulance
00000246,amend,amend
00000247,amendment,amendment
00000248,amid,amid
00000249,among,among
00000250,amongst,amongst
00000251,amount,amount
00000252,ample,ample
00000253,amuse,amuse
00000254,amused,amused
00000255,amusement,amusement
00000256,amusing,amusing
00000257,an,an
00000258,analogous,analogous
00000259,analogy,analogy
00000260,analyse,analyse
00000261,analysis,analysis
00000262,analyst,analyst
00000263,analytical,analytical
00000264,ancestor,ancestor
00000265,anchor,anchor
00000266,ancient,ancient
00000267,and,and
00000268,angel,angel
00000269,anger,anger
00000270,angle,angle
00000271,angrily,angrily
00000272,angry,angry
00000273,animal,animal
00000274,animated,animated
00000275,animation,animation
00000276,ankle,ankle
00000277,anniversary,anniversary
00000278,announce,announce
00000279,announcement,announcement
00000280,annoy,annoy
00000281,annoyance,annoyance
00000282,annoyed,annoyed
00000283,annoying,annoying
00000284,annual,annual
00000285,annually,annually
00000286,anonymous,anonymous
00000287,another,another
00000288,answer,answer
00000289,ant,ant
00000290,anti-social,anti-social
00000291,antibiotic,antibiotic
00000292,anticipate,anticipate
00000293,anticipation,anticipation
00000294,antique,antique
00000295,anxiety,anxiety
00000296,anxious,anxious
00000297,anxiously,anxiously
00000298,any,any
00000299,anybody,anybody
00000300,anyhow,anyhow
00000301,anymore,anymore
00000302,anyone,anyone
00000303,anything,anything
00000304,anyway,anyway
00000305,anywhere,anywhere
00000306,apart,apart
00000307,apartment,apartment
00000308,apologetic,apologetic
00000309,apologise,apologise
00000310,apology,apology
00000311,apostrophe,apostrophe
00000312,appalling,appalling
00000313,apparent,apparent
00000314,apparently,apparently
00000315,appeal,appeal
00000316,appear,appear
00000317,appearance,appearance
00000318,appetite,appetite
00000319,applaud,applaud
00000320,applause,applause
00000321,apple,apple
00000322,appliance,appliance
00000323,application,application
00000324,apply,apply
00000325,appoint,appoint
00000326,appointment,appointment
00000327,appreciate,appreciate
00000328,appreciation,appreciation
00000329,approach,approach
00000330,appropriate,appropriate
00000331,appropriately,appropriately
00000332,approval,approval
00000333,approve,approve
00000334,approximate,approximate
00000335,approximately,approximately
00000336,arbitrary,arbitrary
00000337,arch,arch
00000338,archaeologist,archaeologist
00000339,archaeology,archaeology
00000340,architect,architect
00000341,architecture,architecture
00000342,area,area
00000343,argue,argue
00000344,argument,argument
00000345,arid,arid
00000346,arise,arise
00000347,arm,arm
00000348,armchair,armchair
00000349,armed,armed
00000350,army,army
00000351,around,around
00000352,arouse,arouse
00000353,arrange,arrange
00000354,arrangement,arrangement
00000355,arrest,arrest
00000356,arrival,arrival
00000357,arrive,arrive
00000358,arrogant,arrogant
00000359,arrow,arrow
00000360,art,art
00000361,article,article
00000362,artificial,artificial
00000363,artificial intelligence,artificial intelligence
00000364,artificially,artificially
00000365,artist,artist
00000366,artistic,artistic
00000367,as,as
00000368,ashamed,ashamed
00000369,aside,aside
00000370,ask,ask
00000371,asleep,asleep
00000372,aspect,aspect
00000373,aspiration,aspiration
00000374,aspirin,aspirin
00000375,assault,assault
00000376,assemble,assemble
00000377,assembly,assembly
00000378,assert,assert
00000379,assertive,assertive
00000380,assess,assess
00000381,assessment,assessment
00000382,asset,asset
00000383,assign,assign
00000384,assignment,assignment
00000385,assist,assist
00000386,assistance,assistance
00000387,assistant,assistant
00000388,associate,associate
00000389,association,association
00000390,assume,assume
00000391,assumption,assumption
00000392,assurance,assurance
00000393,assure,assure
00000394,astonished,astonished
00000395,astonishing,astonishing
00000396,astonishment,astonishment
00000397,astronomy,astronomy
00000398,at,at
00000399,athlete,athlete
00000400,athletic,athletic
00000401,athletics,athletics
00000402,atmosphere,atmosphere
00000403,atom,atom
00000404,atomic,atomic
00000405,attach,attach
00000406,attachment,attachment
00000407,attack,attack
00000408,attain,attain
00000409,attainable,attainable
00000410,attempt,attempt
00000411,attend,attend
00000412,attendance,attendance
00000413,attention,attention
00000414,attitude,attitude
00000415,attract,attract
00000416,attraction,attraction
00000417,attractive,attractive
00000418,attribute,attribute
00000419,aubergine,aubergine
00000420,auction,auction
00000421,audience,audience
00000422,audition,audition
00000423,aunt,aunt
00000424,authentic,authentic
00000425,author,author
00000426,authority,authority
00000427,authorize,authorize
00000428,automatic,automatic
00000429,automatically,automatically
00000430,autumn,autumn
00000431,availability,availability
00000432,available,available
00000433,avenue,avenue
00000434,average,average
00000435,avoid,avoid
00000436,awake,awake
00000437,award,award
00000438,aware,aware
00000439,awareness,awareness
00000440,away,away
00000441,awe,awe
00000442,awesome,awesome
00000443,awful,awful
00000444,awkward,awkward
00000445,baby,baby
00000446,babysit,babysit
00000447,babysitter,babysitter
00000448,back,back
00000449,backache,backache
00000450,background,background
00000451,backing,backing
00000452,backpack,backpack
00000453,backpacker,backpacker
00000454,backpacking,backpacking
00000455,backup,backup
00000456,backward,backward
00000457,backwards,backwards
00000458,bacon,bacon
00000459,bacteria,bacteria
00000460,bad,bad
00000461,bad-tempered,bad-tempered
00000462,badge,badge
00000463,badly,badly
00000464,badminton,badminton
00000465,bag,bag
00000466,baggage,baggage
00000467,bake,bake
00000468,baker,baker
00000469,bakery,bakery
00000470,balance,balance
00000471,balanced,balanced
00000472,balcony,balcony
00000473,bald,bald
00000474,ball,ball
00000475,ballet,ballet
00000476,balloon,balloon
00000477,ban,ban
00000478,banana,banana
00000479,band,band
00000480,bandage,bandage
00000481,bang,bang
00000482,bank,bank
00000483,bank account,bank account
00000484,banker,banker
00000485,banking,banking
00000486,bankrupt,bankrupt
00000487,bar,bar
00000488,barbecue,barbecue
00000489,barber,barber
00000490,bare,bare
00000491,barely,barely
00000492,bargain,bargain
00000493,bark,bark
00000494,barman,barman
00000495,barn,barn
00000496,barrier,barrier
00000497,base,base
00000498,baseball,baseball
00000499,basement,basement
00000500,basic,basic
00000501,basically,basically
00000502,basin,basin
00000503,basis,basis
00000504,basket,basket
00000505,basketball,basketball
00000506,bat,bat
00000507,bath,bath
00000508,bathroom,bathroom
00000509,battery,battery
00000510,battle,battle
00000511,bay,bay
00000512,be,be
00000513,beach,beach
00000514,beak,beak
00000515,beam,beam
00000516,bean,bean
00000517,bear,bear
00000518,beard,beard
00000519,beat,beat
00000520,beautiful,beautiful
00000521,beautifully,beautifully
00000522,beauty,beauty
00000523,because,because
00000524,because of,because of
00000525,bed,bed
00000526,bedroom,bedroom
00000527,bee,bee
00000528,beef,beef
00000529,beer,beer
00000530,before,before
00000531,beg,beg
00000532,begin,begin
00000533,beginner,beginner
00000534,beginning,beginning
00000535,behave,behave
00000536,behaviour,behaviour
00000537,behind,behind
00000538,belief,belief
00000539,believe,believe
00000540,bell,bell
00000541,belong,belong
00000542,belongings,belongings
00000543,below,below
00000544,belt,belt
00000545,bench,bench
00000546,bend,bend
00000547,beneath,beneath
00000548,beneficial,beneficial
00000549,benefit,benefit
00000550,berry,berry
00000551,beside,beside
00000552,besides,besides
00000553,best,best
00000554,bestseller,bestseller
00000555,bet,bet
00000556,betray,betray
00000557,better,better
00000558,between,between
00000559,beware,beware
00000560,beyond,beyond
00000561,bias,bias
00000562,biased,biased
00000563,bicycle,bicycle
00000564,bid,bid
00000565,big,big
00000566,bike,bike
00000567,bikini,bikini
00000568,bilingual,bilingual
00000569,bill,bill
00000570,billion,billion
00000571,bin,bin
00000572,bind,bind
00000573,biography,biography
00000574,biological,biological
00000575,biology,biology
00000576,bird,bird
00000577,birth,birth
00000578,birthday,birthday
00000579,biscuit,biscuit
00000580,bit,bit
00000581,bite,bite
00000582,bitter,bitter
00000583,bizarre,bizarre
00000584,black,black
00000585,blackboard,blackboard
00000586,blackmail,blackmail
00000587,blade,blade
00000588,blame,blame
00000589,bland,bland
00000590,blank,blank
00000591,blanket,blanket
00000592,bleak,bleak
00000593,bleed,bleed
00000594,blend,blend
00000595,blind,blind
00000596,blindness,blindness
00000597,blink,blink
00000598,blister,blister
00000599,block,block
00000600,blog,blog
00000601,blogger,blogger
00000602,blonde,blonde
00000603,blood,blood
00000604,bloody,bloody
00000605,blow,blow
00000606,blue,blue
00000607,blunt,blunt
00000608,blush,blush
00000609,board,board
00000610,board game,board game
00000611,boast,boast
00000612,boat,boat
00000613,body,body
00000614,boil,boil
00000615,boiled,boiled
00000616,boiling,boiling
00000617,bold,bold
00000618,boldly,boldly
00000619,bomb,bomb
00000620,bomber,bomber
00000621,bombing,bombing
00000622,bond,bond
00000623,bone,bone
00000624,bonus,bonus
00000625,book,book
00000626,bookcase,bookcase
00000627,booking,booking
00000628,booklet,booklet
00000629,bookmark,bookmark
00000630,bookshelf,bookshelf
00000631,bookshop,bookshop
00000632,boost,boost
00000633,boot,boot
00000634,border,border
00000635,bored,bored
00000636,boring,boring
00000637,borrow,borrow
00000638,boss,boss
00000639,bossy,bossy
00000640,both,both
00000641,bother,bother
00000642,bothered,bothered
00000643,bottle,bottle
00000644,bottom,bottom
00000645,bounce,bounce
00000646,bound,bound
00000647,boundary,boundary
00000648,bow,bow
00000649,bowl,bowl
00000650,box,box
00000651,boxing,boxing
00000652,boy,boy
00000653,boyfriend,boyfriend
00000654,bra,bra
00000655,bracelet,bracelet
00000656,bracket,bracket
00000657,brain,brain
00000658,brake,brake
00000659,branch,branch
00000660,brand,brand
00000661,brand new,brand new
00000662,brass,brass
00000663,brave,brave
00000664,bravely,bravely
00000665,bravery,bravery
00000666,bread,bread
00000667,break,break
00000668,breakable,breakable
00000669,breakdown,breakdown
00000670,breakfast,breakfast
00000671,breakthrough,breakthrough
00000672,breast,breast
00000673,breath,breath
00000674,breathe,breathe
00000675,breathtaking,breathtaking
00000676,breed,breed
00000677,breeze,breeze
00000678,bribe,bribe
00000679,bribery,bribery
00000680,brick,brick
00000681,bride,bride
00000682,bridge,bridge
00000683,brief,brief
00000684,briefly,briefly
00000685,bright,bright
00000686,brightly,brightly
00000687,brilliant,brilliant
00000688,brilliantly,brilliantly
00000689,bring,bring
00000690,broad,broad
00000691,broadband,broadband
00000692,broadcast,broadcast
00000693,broaden,broaden
00000694,broadly,broadly
00000695,broadminded,broadminded
00000696,broccoli,broccoli
00000697,brochure,brochure
00000698,broken,broken
00000699,bronze,bronze
00000700,brother,brother
00000701,brother-in-law,brother-in-law
00000702,brown,brown
00000703,browse,browse
00000704,browser,browser
00000705,bruise,bruise
00000706,brush,brush
00000707,brutal,brutal
00000708,bubble,bubble
00000709,bucket,bucket
00000710,budget,budget
00000711,bug,bug
00000712,build,build
00000713,builder,builder
00000714,building,building
00000715,bulb,bulb
00000716,bulky,bulky
00000717,bull,bull
00000718,bullet,bullet
00000719,bully,bully
00000720,bump,bump
00000721,bumper,bumper
00000722,bun,bun
00000723,bunch,bunch
00000724,bundle,bundle
00000725,burden,burden
00000726,bureaucracy,bureaucracy
00000727,burger,burger
00000728,burglar,burglar
00000729,burglary,burglary
00000730,burgle,burgle
00000731,burial,burial
00000732,burn,burn
00000733,burning,burning
00000734,burst,burst
00000735,bury,bury
00000736,bus,bus
00000737,bus station,bus station
00000738,bus stop,bus stop
00000739,bush,bush
00000740,business,business
00000741,businessman,businessman
00000742,businesswoman,businesswoman
00000743,busy,busy
00000744,but,but
00000745,butcher,butcher
00000746,butter,butter
00000747,butterfly,butterfly
00000748,button,button
00000749,buy,buy
00000750,buyer,buyer
00000751,buzz,buzz
00000752,by,by
00000753,bye,bye
00000754,cab,cab
00000755,cabbage,cabbage
00000756,cabin,cabin
00000757,cabinet,cabinet
00000758,cable,cable
00000759,caf茅,caf茅
00000760,cage,cage
00000761,cake,cake
00000762,calculate,calculate
00000763,calculation,calculation
00000764,calculator,calculator
00000765,calendar,calendar
00000766,calf,calf
00000767,call,call
00000768,calm,calm
00000769,calmly,calmly
00000770,camel,camel
00000771,camera,camera
00000772,camp,camp
00000773,campaign,campaign
00000774,camping,camping
00000775,campsite,campsite
00000776,campus,campus
00000777,can,can
00000778,canal,canal
00000779,cancel,cancel
00000780,cancellation,cancellation
00000781,cancer,cancer
00000782,candidate,candidate
00000783,candle,candle
00000784,canned,canned
00000785,cannot,cannot
00000786,canteen,canteen
00000787,cap,cap
00000788,capability,capability
00000789,capable,capable
00000790,capacity,capacity
00000791,capital,capital
00000792,capital letter,capital letter
00000793,capitalism,capitalism
00000794,capitalist,capitalist
00000795,captain,captain
00000796,capture,capture
00000797,car,car
00000798,car park,car park
00000799,carbon,carbon
00000800,carbon dioxide,carbon dioxide
00000801,carbon footprint,carbon footprint
00000802,carbon monoxide,carbon monoxide
00000803,card,card
00000804,cardboard,cardboard
00000805,cardigan,cardigan
00000806,care,care
00000807,career,career
00000808,carefree,carefree
00000809,careful,careful
00000810,carefully,carefully
00000811,careless,careless
00000812,carelessly,carelessly
00000813,carelessness,carelessness
00000814,cargo,cargo
00000815,caring,caring
00000816,carnival,carnival
00000817,carpet,carpet
00000818,carriage,carriage
00000819,carrot,carrot
00000820,carry,carry
00000821,cartoon,cartoon
00000822,carve,carve
00000823,case,case
00000824,cash,cash
00000825,cashpoint,cashpoint
00000826,casserole,casserole
00000827,cast,cast
00000828,castle,castle
00000829,casual,casual
00000830,casually,casually
00000831,casualty,casualty
00000832,cat,cat
00000833,catalogue,catalogue
00000834,catastrophe,catastrophe
00000835,catch,catch
00000836,category,category
00000837,cater,cater
00000838,catering,catering
00000839,cathedral,cathedral
00000840,cattle,cattle
00000841,cause,cause
00000842,caution,caution
00000843,cautious,cautious
00000844,cave,cave
00000845,cease,cease
00000846,ceiling,ceiling
00000847,celebrate,celebrate
00000848,celebration,celebration
00000849,celebrity,celebrity
00000850,cell,cell
00000851,cellar,cellar
00000852,cello,cello
00000853,cemetery,cemetery
00000854,cent,cent
00000855,centigrade,centigrade
00000856,centimetre,centimetre
00000857,central,central
00000858,central heating,central heating
00000859,centre,centre
00000860,century,century
00000861,cereal,cereal
00000862,ceremony,ceremony
00000863,certain,certain
00000864,certainly,certainly
00000865,certainty,certainty
00000866,certificate,certificate
00000867,chain,chain
00000868,chair,chair
00000869,challenge,challenge
00000870,challenging,challenging
00000871,champagne,champagne
00000872,champion,champion
00000873,championship,championship
00000874,chance,chance
00000875,chancellor,chancellor
00000876,change,change
00000877,changeable,changeable
00000878,channel,channel
00000879,chaos,chaos
00000880,chaotic,chaotic
00000881,chapel,chapel
00000882,chapter,chapter
00000883,character,character
00000884,characteristic,characteristic
00000885,charge,charge
00000886,charisma,charisma
00000887,charismatic,charismatic
00000888,charity,charity
00000889,charm,charm
00000890,charming,charming
00000891,chart,chart
00000892,chase,chase
00000893,chat,chat
00000894,chat show,chat show
00000895,chatty,chatty
00000896,cheap,cheap
00000897,cheat,cheat
00000898,check,check
00000899,check-in (counter),check-in (counter)
00000900,check-in (desk),check-in (desk)
00000901,checkout,checkout
00000902,cheek,cheek
00000903,cheeky,cheeky
00000904,cheer,cheer
00000905,cheerful,cheerful
00000906,cheerfully,cheerfully
00000907,cheerfulness,cheerfulness
00000908,cheese,cheese
00000909,chef,chef
00000910,chemical,chemical
00000911,chemist,chemist
00000912,chemistry,chemistry
00000913,cheque,cheque
00000914,cherry,cherry
00000915,chess,chess
00000916,chest,chest
00000917,chest of drawers,chest of drawers
00000918,chew,chew
00000919,chewing gum,chewing gum
00000920,chicken,chicken
00000921,chief,chief
00000922,child,child
00000923,childhood,childhood
00000924,childish,childish
00000925,chill,chill
00000926,chilli,chilli
00000927,chilly,chilly
00000928,chimney,chimney
00000929,chin,chin
00000930,chip,chip
00000931,chocolate,chocolate
00000932,choice,choice
00000933,choir,choir
00000934,cholesterol,cholesterol
00000935,choose,choose
00000936,chop,chop
00000937,chore,chore
00000938,chronic,chronic
00000939,church,church
00000940,cigarette,cigarette
00000941,cinema,cinema
00000942,circle,circle
00000943,circuit,circuit
00000944,circular,circular
00000945,circulation,circulation
00000946,circumstance,circumstance
00000947,circus,circus
00000948,citizen,citizen
00000949,city,city
00000950,civil,civil
00000951,civilian,civilian
00000952,civilization,civilization
00000953,claim,claim
00000954,clap,clap
00000955,clarification,clarification
00000956,clarify,clarify
00000957,clarity,clarity
00000958,clash,clash
00000959,class,class
00000960,classic,classic
00000961,classical,classical
00000962,classification,classification
00000963,classify,classify
00000964,classmate,classmate
00000965,classroom,classroom
00000966,clause,clause
00000967,clean,clean
00000968,cleaner,cleaner
00000969,clear,clear
00000970,clearly,clearly
00000971,clever,clever
00000972,clich茅,clich茅
00000973,clich茅d,clich茅d
00000974,click,click
00000975,client,client
00000976,cliff,cliff
00000977,climate,climate
00000978,climate change,climate change
00000979,climb,climb
00000980,climbing,climbing
00000981,cling,cling
00000982,clinic,clinic
00000983,clinical,clinical
00000984,clock,clock
00000985,close,close
00000986,closed,closed
00000987,closely,closely
00000988,closeness,closeness
00000989,closure,closure
00000990,cloth,cloth
00000991,clothes,clothes
00000992,clothing,clothing
00000993,cloud,cloud
00000994,cloudy,cloudy
00000995,clown,clown
00000996,club,club
00000997,clue,clue
00000998,clumsiness,clumsiness
00000999,clumsy,clumsy
00001000,clutch,clutch
00001001,coach,coach
00001002,coaching,coaching
00001003,coal,coal
00001004,coast,coast
00001005,coastal,coastal
00001006,coastline,coastline
00001007,coat,coat
00001008,coconut,coconut
00001009,cod,cod
00001010,code,code
00001011,coffee,coffee
00001012,coherence,coherence
00001013,coherent,coherent
00001014,coin,coin
00001015,coincide,coincide
00001016,coincidence,coincidence
00001017,cola,cola
00001018,cold,cold
00001019,coldness,coldness
00001020,collaborate,collaborate
00001021,collaboration,collaboration
00001022,collapse,collapse
