Root,CurNode,CurTime,NextTime
6645,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7001,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7002,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7003,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7004,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7005,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3945,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
412,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7006,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3102,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7007,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7008,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7009,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2964,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7010,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7011,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7012,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7013,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7014,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1068,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3706,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7015,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2855,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7016,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7017,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7018,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7019,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2703,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7020,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7021,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7022,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7023,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4557,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7024,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5627,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5628,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5465,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3935,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1097,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1480,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4278,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7025,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7026,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7027,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7028,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7029,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4142,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5833,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
92,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
91,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2895,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3892,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7030,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5666,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5622,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7031,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4823,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7032,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7033,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7034,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2928,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1568,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1573,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7035,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6529,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3573,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7036,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5704,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7037,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7038,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7039,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7040,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4765,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1505,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7041,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2101,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7042,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7043,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1091,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3476,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5130,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4372,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7044,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7045,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2839,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1342,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3072,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7046,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7047,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7048,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7049,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7050,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7051,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2047,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1981,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6146,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7052,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7053,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1678,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3521,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6340,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4788,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
242,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5590,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6113,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1277,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3297,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2690,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2431,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7054,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7055,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
404,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7056,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7057,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7058,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7059,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7060,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7061,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7062,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3684,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1106,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7063,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7064,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3945,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3132,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3129,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7065,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7066,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1054,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7067,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6422,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6421,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7068,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5888,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1452,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7069,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3282,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3172,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5660,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1034,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7070,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6583,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1162,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5933,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4867,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7071,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2060,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7072,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7073,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7074,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1058,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7075,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4673,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4674,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7076,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1071,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7077,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4566,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4790,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7078,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7079,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7080,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4439,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4440,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7081,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5592,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5629,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7082,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7083,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7084,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1646,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1645,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4719,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1564,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7085,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1273,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6133,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7086,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7087,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7088,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7089,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7090,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7091,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7092,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
662,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7093,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7094,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7095,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7096,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1225,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1226,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7097,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6162,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7098,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
641,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7099,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7100,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2946,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7101,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2917,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7102,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7103,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2049,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7104,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1094,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4331,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7105,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6309,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7106,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1103,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1098,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7107,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7108,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7109,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3525,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1829,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
