Root,Serial,Word,Guideword,Level,Part of Speech,Topic
0000,01-0000-21-0,as well,-,A1,phrase,communication
0000,01-0000-21-0,"I am Spanish/a teacher, etc.",-,A1,phrase,-
0000,01-0000-21-0,"there is/there are/there was, etc.",-,A1,phrase,describing things
0000,01-0000-21-0,be called sth,-,A1,phrase,-
0000,01-0000-22-0,come from swh/sth ,-,A1,phrasal verb,-
0000,01-0000-21-0,of course,-,A1,phrase,communication
0000,01-0000-21-0,"do the cleaning/cooking, etc.",-,A1,phrase,people: actions
0000,01-0000-21-0,what does sb do?,-,A1,phrase,work
0000,01-0000-21-0,for example,-,A1,phrase,communication
0000,01-0000-21-0,Excuse me,ATTRACTING ATTENTION,A1,phrase,communication
0000,01-0000-21-0,(that's) fine,-,A1,phrase,communication
0000,01-0000-21-0,for example,-,A1,phrase,communication
0000,01-0000-21-0,Don't forget...,-,A1,phrase,communication
0000,01-0000-21-0,"get here/there/home/to work, etc.",-,A1,phrase,travel
0000,01-0000-21-0,"get a bus/train/taxi, etc.",-,A1,phrase,travel
0000,01-0000-22-0,get (sb) up,-,A1,phrasal verb,people: actions
0000,01-0000-21-0,go shopping,-,A1,phrase,shopping
0000,01-0000-22-0,go out,LEAVE,A1,phrasal verb,people: actions
0000,01-0000-21-0,good for you,-,A1,phrase,body and health
0000,01-0000-21-0,"half past one/two/three, etc.",-,A1,phrase,-
0000,01-0000-21-0,"Happy Birthday/New Year, etc.",-,A1,phrase,communication
0000,01-0000-21-0,How are you?,-,A1,phrase,communication
0000,01-0000-21-0,"last week/year/Monday, etc.",-,A1,phrase,-
0000,01-0000-21-0,last night,-,A1,phrase,-
0000,01-0000-21-0,see you later,-,A1,phrase,communication
0000,01-0000-21-0,would like sth/to do sth,-,A1,phrase,people: personality
0000,01-0000-21-0,Would you like...?,-,A1,phrase,communication
0000,01-0000-21-0,"live in/at, etc.",-,A1,phrase,buildings
0000,01-0000-21-0,a lot/lots,-,A1,phrase,describing things
0000,01-0000-21-0,a lot,-,A1,phrase,describing things
0000,01-0000-21-0,how many,-,A1,phrase,communication
0000,01-0000-21-0,"more beautiful/difficult/easily, etc.",-,A1,phrase,-
0000,01-0000-21-0,(Good) morning,-,A1,phrase,communication
0000,01-0000-21-0,in the morning,-,A1,phrase,-
0000,01-0000-21-0,very much,-,A1,phrase,describing things
0000,01-0000-21-0,need to do sth,-,A1,phrase,-
0000,01-0000-21-0,"next week/year/Monday, etc.",-,A1,phrase,-
0000,01-0000-21-0,"one/two/three, etc. o'clock",-,A1,phrase,-
0000,01-0000-21-0,of course,-,A1,phrase,communication
0000,01-0000-21-0,"Yes, please",-,A1,phrase,communication
0000,01-0000-21-0,the present,-,A1,phrase,-
0000,01-0000-21-0,"put sth down/in/on, etc.",-,A1,phrase,people: actions
0000,01-0000-21-0,the radio,-,A1,phrase,arts and media
0000,01-0000-21-0,it rains/it is raining,-,A1,phrase,natural world
0000,01-0000-21-0,Road,-,A1,phrase,-
0000,01-0000-21-0,the same,-,A1,phrase,describing things
0000,01-0000-21-0,"see you later/soon/tomorrow, etc.",-,A1,phrase,communication
0000,01-0000-21-0,see you,-,A1,phrase,communication
0000,01-0000-21-0,see you soon,-,A1,phrase,communication
0000,01-0000-21-0,Street,-,A1,phrase,-
0000,01-0000-21-0,take a picture/photo(graph),-,A1,phrase,people: actions
0000,01-0000-21-0,"There is/are/was, etc.",-,A1,phrase,-
0000,01-0000-21-0,things,-,A1,phrase,-
0000,01-0000-21-0,"too small/hard/much, etc.",-,A1,phrase,describing things
0000,01-0000-21-0,"not very good/tall/happy, etc.",-,A1,phrase,-
0000,01-0000-21-0,very much,-,A1,phrase,describing things
0000,01-0000-22-0,wake (sb) up or wake up (sb),-,A1,phrasal verb,people: actions
0000,01-0000-21-0,Well done!,-,A1,phrase,communication
0000,01-0000-21-0,as well,-,A1,phrase,-
