Root,Serial,Word,Guideword,Level,part_of_speech,Topic
0044,01-0044-05-1,a,NOT PARTICULAR,A1,determiner,-
0044,01-0044-05-2,a,ANY/EVERY,A1,determiner,-
0044,01-0044-05-3,a,ONE,A1,determiner,-
0044,01-0044-05-4,a,TYPE,A1,determiner,-
0054,01-0054-10-1,about,SUBJECT,A1,preposition,communication
0054,01-0054-02-2,about,-,A1,adverb,-
0055,01-0055-02-1,above,HIGHER POSITION,A1,adverb,describing things
0124,01-0124-08-1,address,BUILDING DETAILS,A1,noun,buildings
0124,01-0124-08-2,address,ELECTRONIC,A1,noun,technology
0143,01-0143-08-1,adult,-,A1,noun,people: appearance
0166,01-0166-10-1,after,TIME/EVENT,A1,preposition,-
0167,01-0167-08-1,afternoon,-,A1,noun,-
0169,01-0169-02-1,again,ONE MORE TIME,A1,adverb,-
0171,01-0171-08-1,age,HOW OLD,A1,noun,-
0203,01-0203-05-1,all,EVERY ONE,A1,determiner,communication
0203,01-0203-05-2,all,WHOLE TIME,A1,determiner,-
0204,01-0204-01-1,all right,WITHOUT PROBLEMS,A1,adjective,-
0204,01-0204-06-2,all right,-,A1,exclamation,communication
0224,01-0224-06-1,alright,-,A1,exclamation,communication
0225,01-0225-02-1,also,-,A1,adverb,-
0234,01-0234-02-1,always,EVERY TIME,A1,adverb,-
0045,01-0045-02-1,a.m.,-,A1,adverb,-
0257,01-0257-05-1,an,-,A1,determiner,-
0267,01-0267-04-1,and,ALSO,A1,conjunction,communication
0267,01-0267-04-2,and,AFTER,A1,conjunction,communication
0267,01-0267-04-3,and,NUMBERS,A1,conjunction,-
0273,01-0273-08-1,animal,NOT A HUMAN,A1,noun,animals
0288,01-0288-08-1,answer,REACTION,A1,noun,communication
0288,01-0288-12-2,answer,REACT,A1,verb,communication
0298,01-0298-05-1,any,NOT IMPORTANT WHICH,A1,determiner,describing things
0298,01-0298-05-2,any,SOME,A1,determiner,describing things
0303,01-0303-11-1,anything,IN QUESTIONS/NEGATIVES,A1,pronoun,-
0303,01-0303-11-2,anything,NO MATTER WHICH,A1,pronoun,-
0321,01-0321-08-1,apple,-,A1,noun,food and drink
0001,01-0001-08-1,April,-,A1,noun,-
0347,01-0347-08-1,arm,BODY,A1,noun,body and health
0367,01-0367-02-1,as,JOB,A1,adverb,work
0370,01-0370-12-1,ask,QUESTION,A1,verb,communication
0398,01-0398-10-1,at,PLACE,A1,preposition,describing things
0398,01-0398-10-2,at,TIME,A1,preposition,-
0398,01-0398-10-3,at,DIRECTION,A1,preposition,-
0398,01-0398-10-4,at,EMAIL ADDRESS,A1,preposition,"communication, technology"
0002,01-0002-08-1,August,-,A1,noun,-
0445,01-0445-08-1,baby,CHILD,A1,noun,people: appearance
0448,01-0448-02-1,back,RETURNING,A1,adverb,describing things
0460,01-0460-01-1,bad,UNPLEASANT,A1,adjective,describing things
0465,01-0465-08-1,bag,-,A1,noun,shopping
0474,01-0474-08-1,ball,ROUND OBJECT,A1,noun,shopping
0478,01-0478-08-1,banana,-,A1,noun,food and drink
0479,01-0479-08-1,band,MUSIC,A1,noun,arts and media
0482,01-0482-08-1,bank,MONEY,A1,noun,money
0487,01-0487-08-1,bar,DRINKING PLACE,A1,noun,food and drink
0505,01-0505-08-1,basketball,-,A1,noun,shopping
0507,01-0507-08-1,bath,WASH,A1,noun,people: actions
0507,01-0507-08-2,bath,CONTAINER,A1,noun,buildings
0508,01-0508-08-1,bathroom,ROOM,A1,noun,buildings
0512,01-0512-12-1,be,POSITION,A1,verb,describing things
0513,01-0513-08-1,beach,-,A1,noun,natural world
0518,01-0518-08-1,beard,-,A1,noun,people: appearance
0520,01-0520-01-1,beautiful,ATTRACTIVE,A1,adjective,people: appearance
0520,01-0520-01-2,beautiful,PLEASANT,A1,adjective,describing things
0523,01-0523-04-1,because,-,A1,conjunction,communication
0525,01-0525-08-1,bed,FOR SLEEP,A1,noun,buildings
0526,01-0526-08-1,bedroom,-,A1,noun,buildings
0529,01-0529-08-1,beer,-,A1,noun,food and drink
0530,01-0530-10-1,before,EARLIER,A1,preposition,-
0532,01-0532-12-1,begin,START TO HAPPEN,A1,verb,-
0537,01-0537-10-1,behind,BACK,A1,preposition,describing things
