Root,Serial,Word,CurNode,CurTime,NextTime
6645,00-6645-0-0,yield,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7001,00-7001-0-0,apace,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7002,00-7002-0-0,periodical,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7003,00-7003-0-0,periodically,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7004,00-7004-0-0,commonwealth,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7005,00-7005-0-0,dismantle,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3945,00-3945-0-0,optional,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
412,00-0412-0-0,attendance,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7006,00-7006-0-0,inspiring,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3102,00-3102-0-0,invasion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7007,00-7007-0-0,eternal,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7008,00-7008-0-0,momentary,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7009,00-7009-0-0,eternity,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2964,00-2964-0-0,infinite,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7010,00-7010-0-0,ventilation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7011,00-7011-0-0,ventilate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7012,00-7012-0-0,counteract,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7013,00-7013-0-0,forfeit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7014,00-7014-0-0,impart,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1068,00-1068-0-0,companion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3706,00-3706-0-0,mutual,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7015,00-7015-0-0,equity,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2855,00-2855-0-0,immigration,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7016,00-7016-0-0,subliminal,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7017,00-7017-0-0,liminal,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7018,00-7018-0-0,subliminally,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7019,00-7019-0-0,consortium,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2703,00-2703-0-0,hierarchy,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7020,00-7020-0-0,burgeon,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7021,00-7021-0-0,regent,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7022,00-7022-0-0,elicit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7023,00-7023-0-0,delve,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4557,00-4557-0-0,questionnaire,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7024,00-7024-0-0,questionary,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5627,00-5627-0-0,substantial,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5628,00-5628-0-0,substantially,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5465,00-5465-0-0,sponsor,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3935,00-3935-0-0,opponent,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1097,00-1097-0-0,component,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1480,00-1480-0-0,deliberate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4278,00-4278-0-0,ponder,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7025,00-7025-0-0,hasty,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7026,00-7026-0-0,liberate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7027,00-7027-0-0,delinquency,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7028,00-7028-0-0,delinquent,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7029,00-7029-0-0,seep,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4142,00-4142-0-0,perform,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5833,00-5833-0-0,tender,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
92,00-0092-0-0,accurate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
91,00-0091-0-0,accuracy,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2895,00-2895-0-0,inaccurate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3892,00-3892-0-0,odour,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7030,00-7030-0-0,deodourize,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5666,00-5666-0-0,summit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5622,00-5622-0-0,submit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7031,00-7031-0-0,epitomize,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4823,00-4823-0-0,resource,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
