Root,Word,CurNode,CurTime,NextTime
006645,yield,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007001,apace,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007002,periodical,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007003,periodically,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007004,commonwealth,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007005,dismantle,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003945,optional,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
000412,attendance,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007006,inspiring,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003102,invasion,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007007,eternal,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007008,momentary,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007009,eternity,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002964,infinite,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007010,ventilation,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007011,ventilate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007012,counteract,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007013,forfeit,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007014,impart,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001068,companion,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003706,mutual,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007015,equity,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002855,immigration,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007016,subliminal,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007017,liminal,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007018,subliminally,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007019,consortium,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002703,hierarchy,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007020,burgeon,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007021,regent,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007022,elicit,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007023,delve,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004557,questionnaire,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007024,questionary,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005627,substantial,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005628,substantially,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005465,sponsor,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
