Root,CurNode,CurTime,NextTime
006645,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007001,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007002,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007003,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007004,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007005,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003945,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
000412,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007006,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003102,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007007,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007008,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007009,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002964,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007010,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007011,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007012,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007013,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007014,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001068,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003706,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007015,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002855,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007016,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007017,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007018,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007019,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002703,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007020,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007021,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007022,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007023,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004557,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007024,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005627,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005628,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005465,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003935,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001097,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001480,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004278,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007025,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007026,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007027,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007028,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007029,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004142,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005833,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
000092,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
000091,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002895,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003892,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007030,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005666,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005622,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007031,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004823,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
