Root,Word,CurNode,CurTime,NextTime
6645,yield,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7001,apace,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7002,periodical,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7003,periodically,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7004,commonwealth,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7005,dismantle,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3945,optional,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
412,attendance,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7006,inspiring,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3102,invasion,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7007,eternal,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7008,momentary,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7009,eternity,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2964,infinite,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7010,ventilation,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7011,ventilate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7012,counteract,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7013,forfeit,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7014,impart,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1068,companion,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3706,mutual,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7015,equity,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2855,immigration,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7016,subliminal,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7017,liminal,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7018,subliminally,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7019,consortium,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2703,hierarchy,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7020,burgeon,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7021,regent,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7022,elicit,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7023,delve,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4557,questionnaire,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7024,questionary,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5627,substantial,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5628,substantially,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5465,sponsor,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3935,opponent,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1097,component,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1480,deliberate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4278,ponder,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7025,hasty,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7026,liberate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7027,delinquency,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7028,delinquent,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7029,seep,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4142,perform,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5833,tender,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
92,accurate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
91,accuracy,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2895,inaccurate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3892,odour,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7030,deodourize,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5666,summit,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5622,submit,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7031,epitomize,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4823,resource,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7032,iris,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7033,denote,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7034,signify,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2928,indicate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1568,diagnose,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1573,dialogue,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7035,dialog,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6529,whistle,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3573,migration,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7036,migrate,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5704,surge,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7037,federation,-1,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
