Root,Serial,Level,Part of Speech,addition,Explaination,ExplainationE,ExplainationC
0044,01-0044-05-1,A1,determiner,-,,-,-
0044,01-0044-05-2,A1,determiner,-,,-,-
0044,01-0044-05-3,A1,determiner,-,,-,-
0044,01-0044-05-4,A1,determiner,-,,-,-
0054,01-0054-10-1,A1,preposition,-,,-,-
0054,01-0054-02-2,A1,adverb,-,,-,-
0055,01-0055-02-1,A1,adverb,-,,-,-
0124,01-0124-08-1,A1,noun,-,,-,-
0124,01-0124-08-2,A1,noun,-,,-,-
0143,01-0143-08-1,A1,noun,-,,-,-
0166,01-0166-10-1,A1,preposition,-,,-,-
0167,01-0167-08-1,A1,noun,-,,-,-
0169,01-0169-02-1,A1,adverb,-,,-,-
0171,01-0171-08-1,A1,noun,-,,-,-
0203,01-0203-05-1,A1,determiner,-,,-,-
0203,01-0203-05-2,A1,determiner,-,,-,-
0204,01-0204-01-1,A1,adjective,-,,-,-
0204,01-0204-06-2,A1,exclamation,-,,-,-
0224,01-0224-06-1,A1,exclamation,-,,-,-
0225,01-0225-02-1,A1,adverb,-,,-,-
0234,01-0234-02-1,A1,adverb,-,,-,-
0045,01-0045-02-1,A1,adverb,-,,-,-
0257,01-0257-05-1,A1,determiner,-,,-,-
0267,01-0267-04-1,A1,conjunction,-,,-,-
0267,01-0267-04-2,A1,conjunction,-,,-,-
0267,01-0267-04-3,A1,conjunction,-,,-,-
0273,01-0273-08-1,A1,noun,-,,-,-
0288,01-0288-08-1,A1,noun,-,,-,-
0288,01-0288-12-2,A1,verb,-,,-,-
0298,01-0298-05-1,A1,determiner,-,,-,-
0298,01-0298-05-2,A1,determiner,-,,-,-
0303,01-0303-11-1,A1,pronoun,-,,-,-
0303,01-0303-11-2,A1,pronoun,-,,-,-
0321,01-0321-08-1,A1,noun,-,,-,-
0001,01-0001-08-1,A1,noun,-,,-,-
0347,01-0347-08-1,A1,noun,-,,-,-
0367,01-0367-02-1,A1,adverb,-,,-,-
0370,01-0370-12-1,A1,verb,-,,-,-
0398,01-0398-10-1,A1,preposition,-,,-,-
