root,serial-等级,serial-词性,serial-释义,serial-短语,sentence,reviewcode-类型,reviewcode-小类,reviewcode-话题,reviewcode-态度,content,translation,remark,count
reckon,错词,01,,,reckoned,看作,应为过去分词形式,,,,,,0
appreciate,错词,01,,,appreciated,欣赏,,,,,,,0
masterpiece,错词,01,,,masterpieces,杰作,,,,,,,0
define,错词,01,,,definition,定义,,,,,,,0
bottle,错词,01,,,bottle,瓶子,,,,,,,0
respond,错词,01,,,respond,反应,,,,,,,0
rhythm,错词,01,,,rhythm,节奏,,,,,,,0
specific,错词,01,,,specific,特定的,,,,,,,0
aesthetic,错词,01,,,aesthetic,美学的,,,,,,,0
dimension,错词,01,,,dimension,维度,,,,,,,0
melody,错词,01,,,melody,旋律,,,,,,,0
scenario,错词,01,,,scenario,情景,,,,,,,0
Opera,错词,01,,,Opera,歌剧,,,,,,,0
stimulate,错词,01,,,stimulate,刺激,,,,,,,0
compulsory,错词,01,,,compulsory,强制的,,,,,,,0
definitely,错词,01,,,definitely,肯定地,,,,,,,0
imbalance,错词,01,,,imbalance,不平衡,,,,,,,0
long-term,错词,01,,,long-term,长期的,,,,,,,0
Therefore,错词,01,,,Therefore,因此,,,,,,,0
specifically,错词,01,,,specifically,具体地,,,,,,,0
approach,错词,01,,,approach,方法,,,,,,,0
equity,错词,01,,,equity,公平,,,,,,,0
shoulder,错词,01,,,shoulder,承担,,,,,,,0
responsibility,错词,01,,,responsibility,责任,,,,,,,0
allocation,错词,01,,,allocation,分配,,,,,,,0
environment,错词,01,,,environment,环境,,,,,,,0
conclusion,错词,01,,,conclusion,结论,,,,,,,0
essential,错词,01,,,essential,必要的,,,,,,,0
implicit,错词,01,,,implicit,隐含的,,,,,,,0
genuinely,错词,01,,,genuinely,真正地,,,,,,,0
price,错词,01,,,price,价格,,,,,,,0
vehicle,错词,01,,,vehicles,车辆,,,,,,,0
mechanic,错词,01,,,mechanical,机械的,原词性有误,,,,,,0
benefit,错词,01,,,benefits,利益,,,,,,,0
hinder,错词,01,,,hinders,阻碍,,,,,,,0
establish,错词,01,,,establish,建立,,,,,,,0
synchronize,错词,01,,,synchronized,同步的,应为形容词形式,,,,,,0
trajectory,错词,01,,,trajectory,轨迹,,,,,,,0
intelligent,错词,01,,,intelligent,智能的,,,,,,,0
infrastructure,错词,01,,,infrastructure,基础设施,,,,,,,0
technology,错词,01,,,technology,技术,,,,,,,0
sustainable,错词,01,,,sustainable,可持续的,,,,,,,0
promoting,错词,01,,,promoting,推广,,,,,,,0
establishment,错词,01,,,establishment,建立/机构,,,,,,,0
synchronously,错词,01,,,synchronously,同步地,,,,,,,0
associate,错词,01,,,associated,与...相关,应为过去分词,,,,,,0
conclusion,错词,01,,,conclusion,结论,,,,,,,0
limitation,错词,02,,,limitations,限制,,,,,,,0
audience,错词,02,,,audiences,观众,,,,,,,0
barrier,错词,03,,,barriers to creation,创作壁垒,,,,,,,0
research,错词,03,,,conduct research,进行研究,,,,,,,0
transcend,错词,04,,,transcending,超越,,,,,,,0
request,错词,04,,,requests,请求,,,,,,,0
interpretation,错词,04,,,interpretation,诠释,原错误词为illustration(插图),,,,,,0
communicative,错词,04,,,everyday communicative tool,日常沟通工具,,,,,,,0
lyric,错词,04,,,lyrics,歌词,,,,,,,0
usher,错词,04,,,ushered in,引领,,,,,,,0
touching,错词,04,,,moving/touching,动人的,touchy意为“易怒的”,,,,,,0
dialogue,错词,04,,,dialogue,对话,,,,,,,0
simplistic,错词,04,,,simplistically,过分简单地,,,,,,,0
response,错词,05,,,response,反应,原错误词为respondance,,,,,,0
creation,错词,05,,,creation tools,创作工具,,,,,,,0
tend,错词,05,,,tend to,倾向于,,,,,,,0
base,错词,05,,,base,基础,原错误词为basement(地下室),,,,,,0
tent,错词,05,,,tend,倾向于,原错误01,,,,,,0
economic,错词,05,,,economic/financial,经济的/金融的,,,,,,,0
abundant,错词,05,,,abundant,丰富的,原错误词为aboudance,,,,,,0
effective,错词,06,,,effective,有效的,原错误词为efficiency(效率),,,,,,0
exert,错词,06,,,exert,施加,原错误词为extract(提取),,,,,,0
affected,错词,06,,,affected,受到影响,原错误词为effected(实现),,,,,,0
contemporary,词伙,,9.0,,contemporary pop,当代流行乐,,,,,,,0
transcend,词伙,,9.0,,transcend culture,超越文化,,,,,,,0
evoke,词伙,,9.0,,evoke emotional responses,唤起情感反应,,,,,,,0
universal,词伙,,9.0,,universal response,普遍的反应,,,,,,,0
translation,词伙,,9.0,,requiring no translation,无需翻译,,,,,,,0
